player,runs,boundaries,boundaries_percent,balls_faced,matches,batting_avg,batting_strike_rate
Shahbaz Ahmed,279,29,11.46,253,26,10.73,110.28
Shakib Al Hasan,795,94,14.14,665,71,11.2,119.55
Shubman Gill,1900,235,15.11,1555,70,27.14,122.19
TG Southee,120,12,11.11,108,52,2.31,111.11
TK Curran,127,13,12.04,108,13,9.77,117.59
TL Suman,676,81,13.8,587,40,16.9,115.16
TM Dilshan,1153,164,15.66,1047,50,23.06,110.12
TM Head,205,20,13.25,151,10,20.5,135.76
Tilak Varma,397,45,14.38,313,14,28.36,126.84
UBT Chand,300,41,13.06,314,20,15,95.54
UT Khawaja,127,17,16.19,105,6,21.17,120.95
UT Yadav,177,23,13.07,176,132,1.34,100.57
V Kohli,6634,800,15.19,5266,216,30.71,125.98
V Sehwag,2728,440,24,1833,104,26.23,148.83
V Shankar,731,74,12.01,616,47,15.55,118.67
VR Iyer,552,75,15.82,474,22,25.09,116.46
VVS Laxman,282,38,14.02,271,20,14.1,104.06
W Jaffer,130,17,13.18,129,8,16.25,100.78
WP Saha,2427,307,15.74,1951,117,20.74,124.4
Washington Sundar,318,35,12.59,278,50,6.36,114.39
Y Nagar,285,29,10.7,271,20,14.25,105.17
Y Venugopal Rao,985,114,13.18,865,57,17.28,113.87
YBK Jaiswal,547,84,20.49,410,23,23.78,133.41
YK Pathan,3222,424,18.17,2334,161,20.01,138.05
YV Takawale,192,29,15.85,183,10,19.2,104.92
Yuvraj Singh,2754,367,16.63,2207,129,21.35,124.78
Z Khan,117,13,9.22,141,99,1.18,82.98
